timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
10:12:25,qa-gateway-1,12.19,238.6MiB on 768MiB,31.07,14.4MB on 17.6MB,0B on 279kB
10:12:25,qa-orderapi-1,63.08,380.6MiB on 1GiB,37.16,28.4MB on 24.7MB,0B on 176kB
10:12:25,qa-userapi-1,199.52,454.5MiB on 1GiB,44.38,6.95MB on 5.09MB,0B on 180kB
10:12:25,qa-eureka-1,4.99,211.6MiB on 512MiB,41.32,51.3kB on 342kB,0B on 197kB
10:12:25,qa-mysql-order-1,16.06,413MiB on 15.26GiB,2.64,12.3MB on 17.6MB,131kB on 365MB
10:12:25,qa-redis-1,1.90,5.121MiB on 15.26GiB,0.03,5.3MB on 3.18MB,0B on 778kB
10:12:25,qa-mysql-user-1,4.46,405.2MiB on 15.26GiB,2.59,2.45MB on 4.56MB,131kB on 309MB
10:12:25,qa-kafka-1,13.53,414.9MiB on 15.26GiB,2.65,1.59MB on 891kB,0B on 3.54MB
10:12:34,qa-k6-run-a4819b779e3c,8.29,122.2MiB on 15.26GiB,0.78,9.11MB on 6.68MB,0B on 0B
10:12:34,qa-gateway-1,11.33,239.4MiB on 768MiB,31.17,15.7MB on 19.1MB,0B on 279kB
10:12:34,qa-orderapi-1,36.90,381MiB on 1GiB,37.21,31.2MB on 27MB,0B on 176kB
10:12:34,qa-userapi-1,198.77,465.4MiB on 1GiB,45.45,7.47MB on 5.48MB,0B on 180kB
10:12:34,qa-eureka-1,1.20,211.7MiB on 512MiB,41.34,52.4kB on 354kB,0B on 197kB
10:12:34,qa-mysql-order-1,15.02,413MiB on 15.26GiB,2.64,13.4MB on 19.4MB,131kB on 370MB
10:12:34,qa-redis-1,1.74,5.316MiB on 15.26GiB,0.03,5.85MB on 3.55MB,0B on 778kB
10:12:34,qa-mysql-user-1,4.33,405.2MiB on 15.26GiB,2.59,2.62MB on 4.91MB,131kB on 309MB
10:12:34,qa-kafka-1,2.91,415.6MiB on 15.26GiB,2.66,1.7MB on 939kB,0B on 3.63MB
10:12:42,qa-k6-run-a4819b779e3c,9.50,122.2MiB on 15.26GiB,0.78,9.89MB on 7.19MB,0B on 0B
10:12:42,qa-gateway-1,11.50,240.2MiB on 768MiB,31.28,17MB on 20.6MB,0B on 291kB
10:12:42,qa-orderapi-1,36.95,381.8MiB on 1GiB,37.28,34MB on 29.3MB,0B on 188kB
10:12:42,qa-userapi-1,206.61,453.7MiB on 1GiB,44.31,7.99MB on 5.86MB,0B on 193kB
10:12:42,qa-eureka-1,2.24,211.8MiB on 512MiB,41.37,54kB on 372kB,0B on 209kB
10:12:42,qa-mysql-order-1,15.47,413.6MiB on 15.26GiB,2.65,14.6MB on 21.2MB,131kB on 377MB
10:12:42,qa-redis-1,2.23,5.441MiB on 15.26GiB,0.03,6.33MB on 3.88MB,0B on 778kB
10:12:42,qa-mysql-user-1,4.76,405.7MiB on 15.26GiB,2.60,2.76MB on 5.21MB,131kB on 310MB
10:12:42,qa-kafka-1,4.39,415.6MiB on 15.26GiB,2.66,1.82MB on 987kB,0B on 3.85MB
10:12:50,qa-k6-run-a4819b779e3c,8.73,124.2MiB on 15.26GiB,0.79,10.8MB on 7.78MB,0B on 0B
10:12:50,qa-gateway-1,14.07,240MiB on 768MiB,31.25,18.2MB on 22.2MB,0B on 291kB
10:12:50,qa-orderapi-1,42.74,381.9MiB on 1GiB,37.29,37MB on 31.8MB,0B on 188kB
10:12:50,qa-userapi-1,207.15,457.2MiB on 1GiB,44.64,8.51MB on 6.25MB,0B on 193kB
10:12:50,qa-eureka-1,6.27,212.5MiB on 512MiB,41.50,57.6kB on 388kB,0B on 209kB
10:12:50,qa-mysql-order-1,17.05,413.8MiB on 15.26GiB,2.65,15.7MB on 23.1MB,131kB on 383MB
10:12:50,qa-redis-1,1.99,5.59MiB on 15.26GiB,0.04,6.98MB on 4.33MB,0B on 778kB
10:12:50,qa-mysql-user-1,6.13,405.2MiB on 15.26GiB,2.59,2.95MB on 5.59MB,131kB on 310MB
10:12:50,qa-kafka-1,3.61,418.4MiB on 15.26GiB,2.68,1.94MB on 1.04MB,0B on 3.92MB
10:12:59,qa-k6-run-a4819b779e3c,7.97,125MiB on 15.26GiB,0.80,11.5MB on 8.29MB,0B on 0B
10:12:59,qa-gateway-1,12.04,241.4MiB on 768MiB,31.44,19.5MB on 23.7MB,0B on 303kB
10:12:59,qa-orderapi-1,35.40,381.8MiB on 1GiB,37.28,39.9MB on 34.1MB,0B on 201kB
10:12:59,qa-userapi-1,199.34,463.2MiB on 1GiB,45.24,9.03MB on 6.63MB,0B on 205kB
10:12:59,qa-eureka-1,1.54,212.5MiB on 512MiB,41.51,59.3kB on 406kB,0B on 221kB
10:12:59,qa-mysql-order-1,15.77,414.2MiB on 15.26GiB,2.65,16.9MB on 25MB,131kB on 389MB
10:12:59,qa-redis-1,1.84,5.758MiB on 15.26GiB,0.04,7.55MB on 4.73MB,0B on 778kB
10:12:59,qa-mysql-user-1,3.95,405.2MiB on 15.26GiB,2.59,3.11MB on 5.93MB,131kB on 311MB
10:12:59,qa-kafka-1,4.25,418.4MiB on 15.26GiB,2.68,2.05MB on 1.08MB,0B on 4.14MB
10:13:07,qa-k6-run-a4819b779e3c,7.98,125.3MiB on 15.26GiB,0.80,12.3MB on 8.77MB,0B on 0B
10:13:07,qa-gateway-1,11.40,240.7MiB on 768MiB,31.34,20.9MB on 25.4MB,0B on 303kB
10:13:07,qa-orderapi-1,37.62,382MiB on 1GiB,37.30,42.7MB on 36.4MB,0B on 201kB
10:13:07,qa-userapi-1,198.95,469.1MiB on 1GiB,45.81,9.5MB on 6.97MB,0B on 205kB
10:13:07,qa-eureka-1,4.29,212.6MiB on 512MiB,41.53,60.4kB on 418kB,0B on 221kB
10:13:07,qa-mysql-order-1,15.95,414.3MiB on 15.26GiB,2.65,18.1MB on 27.1MB,131kB on 394MB
10:13:07,qa-redis-1,1.79,5.895MiB on 15.26GiB,0.04,8.2MB on 5.19MB,0B on 778kB
10:13:07,qa-mysql-user-1,4.91,405.5MiB on 15.26GiB,2.59,3.29MB on 6.29MB,131kB on 312MB
10:13:07,qa-kafka-1,4.59,418.5MiB on 15.26GiB,2.68,2.17MB on 1.13MB,0B on 4.22MB
10:13:15,qa-k6-run-a4819b779e3c,8.51,125.3MiB on 15.26GiB,0.80,13.2MB on 9.39MB,0B on 0B
10:13:15,qa-gateway-1,35.54,240.7MiB on 768MiB,31.34,22.3MB on 27MB,0B on 315kB
10:13:15,qa-orderapi-1,41.63,382.1MiB on 1GiB,37.32,46.3MB on 39.4MB,0B on 213kB
10:13:15,qa-userapi-1,197.17,475.9MiB on 1GiB,46.47,10.1MB on 7.42MB,0B on 217kB
10:13:15,qa-eureka-1,7.33,212.9MiB on 512MiB,41.57,63.6kB on 438kB,0B on 233kB
10:13:15,qa-mysql-order-1,18.86,414.5MiB on 15.26GiB,2.65,19.4MB on 29.2MB,131kB on 400MB
10:13:15,qa-redis-1,1.81,6.016MiB on 15.26GiB,0.04,8.76MB on 5.59MB,0B on 778kB
10:13:15,qa-mysql-user-1,6.73,405.3MiB on 15.26GiB,2.59,3.46MB on 6.64MB,131kB on 313MB
10:13:15,qa-kafka-1,171.53,494.2MiB on 15.26GiB,3.16,2.29MB on 1.18MB,0B on 4.45MB
10:13:23,qa-k6-run-a4819b779e3c,8.02,125.8MiB on 15.26GiB,0.81,14.1MB on 9.93MB,0B on 0B
10:13:23,qa-gateway-1,18.36,240.5MiB on 768MiB,31.31,23.5MB on 28.5MB,0B on 315kB
10:13:23,qa-orderapi-1,37.46,382.4MiB on 1GiB,37.34,49.7MB on 42.1MB,0B on 225kB
